project	image	result	missing	note
abseil_cpp	museum-m1:latest	fail	other	
benchmark	museum-m1:latest	ok	-	
abseil_py	museum-m1:latest	ok	-	
brotli	museum-m1:latest	fail	other	
boringssl	museum-m1:latest	ok	-	
buildtools	museum-m1:latest	ok	-	
catch2	museum-m1:latest	ok	-	
cctz	museum-m1:latest	ok	-	
cli11	museum-m1:latest	ok	-	
cpptrace	museum-m1:latest	fail	other	
copybara	museum-m1:latest	ok	-	
cpu_features	museum-m1:latest	ok	-	
crow	museum-m1:latest	ok	-	
doctest	museum-m1:latest	fail	other	
cxx	museum-m1:latest	ok	-	
double_conversion	museum-m1:latest	ok	-	
fast_float	museum-m1:latest	ok	-	
flatbuffers	museum-m1:latest	ok	-	
ftxui	museum-m1:latest	ok	-	
glog	museum-m1:latest	ok	-	
gflags	museum-m1:latest	ok	-	
go_jsonnet	museum-m1:latest	ok	-	
googletest	museum-m1:latest	ok	-	
gperftools	museum-m1:latest	ok	-	
grpc	museum-m1:latest	fail	cc	Auto-Configuration Error: Cannot find gcc or CC (clang); either correct your path or set t
highway	museum-m1:latest	ok	-	
grpc_gateway	museum-m1:latest	ok	-	
bazel	museum-m1:latest	fail	zip	bazel-out/default_host_platform-opt-exec/bin/src/package-bazel-on-host-platform.sh: line 5
json	museum-m1:latest	ok	-	
jsoncpp	museum-m1:latest	ok	-	
iceoryx2	museum-m1:latest	ok	-	
jsonnet	museum-m1:latest	ok	-	
magic_enum	museum-m1:latest	ok	-	
lcm	museum-m1:latest	ok	-	
nsync	museum-m1:latest	ok	-	
onetbb	museum-m1:latest	ok	-	
openexr	museum-m1:latest	ok	-	
highs	museum-m1:latest	ok	-	
opencc	museum-m1:latest	ok	-	
opentelemetry_cpp	museum-m1:latest	ok	-	
ortools	museum-m1:latest	ok	-	
prometheus_cpp	museum-m1:latest	ok	-	
protobuf	museum-m1:latest	fail	python3	rules_python:local_runtime_repo(@@+local_runtime_repo+local_python3) FAIL: interpreter not
pcre2	museum-m1:latest	ok	-	
z3	museum-m1:latest	fail	other	ERROR: no such package '': error globbing [**] op=FILES: [unix_jni.cc:382] /work/bazel-bin
snappy	museum-m1:latest	ok	-	
re2	museum-m1:latest	ok	-	
quill	museum-m1:latest	ok	-	
zlib	museum-m1:latest	ok	-	
