project	image	result	missing	note
abseil_cpp	museum-m3:latest	ok	-	(re-tested with correct key 'absl'; sweep mis-keyed by dir name)
abseil_py	museum-m3:latest	ok	-	
brotli	museum-m3:latest	fail	other	
benchmark	museum-m3:latest	ok	-	
boringssl	museum-m3:latest	ok	-	
buildtools	museum-m3:latest	ok	-	
cctz	museum-m3:latest	ok	-	
catch2	museum-m3:latest	ok	-	
cli11	museum-m3:latest	ok	-	
copybara	museum-m3:latest	ok	-	
cpu_features	museum-m3:latest	ok	-	
crow	museum-m3:latest	ok	-	
doctest	museum-m3:latest	fail	other	
double_conversion	museum-m3:latest	ok	-	
fast_float	museum-m3:latest	ok	-	
cxx	museum-m3:latest	ok	-	
flatbuffers	museum-m3:latest	ok	-	
cpptrace	museum-m3:latest	fail	other	
gflags	museum-m3:latest	ok	-	
glog	museum-m3:latest	ok	-	
googletest	museum-m3:latest	ok	-	
ftxui	museum-m3:latest	ok	-	
gperftools	museum-m3:latest	ok	-	
grpc	museum-m3:latest	fail	cc	Auto-Configuration Error: Cannot find gcc or CC (clang); either correct your path or set t
go_jsonnet	museum-m3:latest	ok	-	
highway	museum-m3:latest	ok	-	
highs	museum-m3:latest	ok	-	
grpc_gateway	museum-m3:latest	ok	-	
json	museum-m3:latest	ok	-	
jsoncpp	museum-m3:latest	ok	-	
jsonnet	museum-m3:latest	ok	-	
magic_enum	museum-m3:latest	ok	-	
lcm	museum-m3:latest	ok	-	
nsync	museum-m3:latest	ok	-	
onetbb	museum-m3:latest	ok	-	
opencc	museum-m3:latest	ok	-	
opentelemetry_cpp	museum-m3:latest	ok	-	
openexr	museum-m3:latest	ok	-	
iceoryx2	museum-m3:latest	ok	-	
pcre2	museum-m3:latest	ok	-	
prometheus_cpp	museum-m3:latest	ok	-	
quill	museum-m3:latest	ok	-	
re2	museum-m3:latest	ok	-	
snappy	museum-m3:latest	ok	-	
protobuf	museum-m3:latest	ok	-	
zlib	museum-m3:latest	ok	-	
z3	museum-m3:latest	fail	other	/home/runner/ob/z3/1e0bb3bee2d09d2e4ad3523530d3b40c/sandbox/processwrapper-sandbox/1/execr
ortools	museum-m3:latest	ok	-	
bazel	museum-m3:latest	ok*	zip	builds; exceeds 30min sweep cap (needs zip, confirmed in M2)
