proj	version	build	test	test_summary
abseil_cpp	9.1.1	success	success	Executed 251 out of 251 tests: 251 tests pass.
bazel	9.1.1	failure	failure	Executed 1 out of 15 tests: 1 test passes and 14 were skipped.
benchmark	8.7.0	success	success	Executed 49 out of 49 tests: 49 tests pass.
boringssl	9.1.1	success	success	Executed 2 out of 2 tests: 2 tests pass.
buildtools	8.7.0	success	success	Executed 5 out of 5 tests: 5 tests pass.
catch2	9.1.1	success	failure	
cctz	8.7.0	success	success	
cli11	8.7.0	success	success	Executed 9 out of 9 tests: 9 tests pass.
copybara	9.1.1	success	failure	Executed 220 out of 220 tests: 219 tests pass and 1 fails locally.
cpu_features	8.7.0	success	success	Executed 4 out of 4 tests: 4 tests pass.
cxx	9.1.1	success	failure	
doctest	9.1.1	failure	failure	
fast_float	8.7.0	success	success	Executed 2 out of 2 tests: 2 tests pass.
flatbuffers	8.7.0	success	success	
ftxui	8.7.0	success	success	
glog	8.7.0	success	success	
googletest	8.7.0	success	success	Executed 41 out of 41 tests: 41 tests pass.
gperftools	8.7.0	success	success	
grpc	8.7.0	failure	failure	Executed 0 out of 50 tests: 50 were skipped.
highway	8.7.0	success	success	Executed 5 out of 5 tests: 5 tests pass.
json	9.1.1	success	missing	
jsoncpp	9.1.1	success	success	
jsonnet	8.7.0	success	success	Executed 3 out of 3 tests: 3 tests pass.
magic_enum	9.1.1	success	failure	
nsync	8.7.0	success	success	Executed 7 out of 7 tests: 7 tests pass.
onetbb	8.7.0	success	success	Executed 4 out of 4 tests: 4 tests pass.
opencc	8.7.0	success	success	Executed 19 out of 19 tests: 19 tests pass.
ortools	8.7.0	success	failure	
protobuf	9.1.1	success	success	Executed 101 out of 102 tests: 101 tests pass and 1 was skipped.
re2	8.7.0	success	success	Executed 16 out of 16 tests: 16 tests pass.
snappy	8.7.0	success	success	
zlib	9.1.1	success	missing	
brotli	8.7.0	failure	missing	
brotli_go	8.7.0	missing	failure	
grpc_gateway	9.1.1	success	success	Executed 8 out of 8 tests: 8 tests pass.
gflags	8.7.0	success	missing	
